locid	name	vis	dsc
buairpor	Burgas Airport	0	The second largest airport in Bulgaria is not as impressive as it sounds. The previously white building is now a speckled gray color. Inside are rows of blue plastic chairs and impatient travelers.
buburgas	Burgas	1	Burgas is an old Thracian city located between the Dead Sea and the Burgas Lake. It is economically important because of the port- it is the main fishing site in Bulgaria.
bueleusa	Eleusa Monastery	1	This monastery dates from the 6th century. While it is mainly in ruins, some parts have been restored. One of its towers still stands and it can be visited. Monica lives here.
bumoback	Monastery Backyard	1	The overgrown backyard of the Zlatna Livada monastery is filled with the joyful screams of some children playing with a ball.
bumonast	Zlatna livada Monastery	1	This is the oldest monastery in Europe out in the middle of nowhere. It seems abandoned, but a few children can be seen playing in the backyard.
bumuseum	Archeological Museum	1	This museum exhibits the history of Nessebar since Thracian times.
bunesse	Nessebar	1	This small historical town of only thirty square kilometers is renowned for its untouched atmosphere: indeed, you will not see many tourists here.
grbay	Melville Bay	0	The water is a pleasant deep blue but you shiver at the thought of swimming in it. The wide open bay area offers no protection from the biting wind. You notice a sailboat in the distance towards the north along with some houses on the shore. You wonder about the name of the village.
grcralak	Crater Lake	1	The lake is a nearly perfect circle with dark and murky water that makes it difficult to judge its depth. The strangely warm water does not freeze during the dead of winter. It is surrounded by a forest. The large clearing around the lake is void of snow, probably due to the heat radiating from the body of water.
gredgecr	Edge of the Crater	1	You see an eroded depression in front of you, overgrown with a forest. The crater is just barely deep enough that you can’t see the top of the trees from beyond the edge. A small river trickles down from the edge to a lake at the bottom.
grfore	East Crater Forest	1	Some parts of the forest are dense making it difficult to move but you can see some clearings here and there. The snow on the trees gives them a candy-like look but the ground has stayed almost entirely clear of snow, even in the clearings.
grforn	North Crater Forest	1	The forest really thickens up here and moving takes quite a bit of effort. The snow on the trees gives them a candy-like look but the ground has stayed almost entirely clear of snow, even in the clearings. At least the birds sing their pretty little songs in the trees.
grforne	North-East Crater Forest	1	The forest isn’t very dense around these parts but strangely the ground is still mostly clear of snow.
grfornw	North-West Crater Forest	1	The forest isn’t very dense here so you catch a glimpse of a family of foxes walking around to the south. The snow on the trees gives them a candy-like look but the ground has stayed almost entirely clear of snow, even in the clearings.
