txtid	txt
archbleh	This object isn't particularly interesting.
archdagg	You inspect the dagger for a while and quickly notice a slit between the pommel and the handle. It almost seems like the dagger could be opened.
archfake	You inspect the sword all around with the help of your Archeological Tools and realize that it has been made using techniques and materials unknown to the Vikings. "This sword was not made by the Vikings! It is a replica!"
bookinca	Inca oral history mentions three caves as the origin of life: Tambo Tocco, Maras Tocco and Sutic Tocco. Out of Tambo Tocco stepped four brothers and sisters: Ayar Manco, Ayar Cachi, Ayar Auca, Ayar Uchu, Mama Ocllo, Mama Raua, Mama Huaca, and Mama Cora. They were to be the ancestors of all the clans of the Inca people. Ayar Manco carried a magic staff made of the finest gold that would indicate the ideal place for Incas to live. After long travels, they reached Cusco where the staff sank into the ground. The people already living in Cusco fought hard to keep their land, but Mama Huaca was a fighter without a rival. When the people of Cusco attacked, she threw her bolas at a soldier killing him instantly. The other inhabitants, terrified, ran away. Finally the Incas settled in Cusco. After that, Ayar Manco became known as Manco Cápac, the founder of the Inca. It is said he and his sisters built the first Inca homes in the valley with their own hands. When it was time forhim to pass away, Manco Cápac instead turned to stone and a shrine was built around him. His son, Sinchi Roca, became the second emperor of the Inca. Sinchi Roca sacrificed humans on the steps of the shrine to honour his father. He used a special sword for this: it was called Nina Khillaychuki (“Fire Sword”) due to its orange hue. When swung, it seemed as though the metal had just been heated in brazing coals.
death	You have died.
devtips	DEVELOPER TIPS\n--------------\nThe game has a robust text matching system. You are not required to type in the full names of objects. A small part, sometimes even a single letter, will be enough to find the correct item, person, or location. Don't worry, the game will ask you to be more specific when multiple objects with similar names are found.\n\nGreeting and speaking to people is essential for learning more information about certain topics and progressing in the game. Some people can be talked to multiple times and can even tell you new information about the same topic if talked to again. Talking to people may open up new dialogue options with the same, or some other person. There are some hidden locations that are not accessible until you have learned about them or about something that is there. Examine objects, people, and locations to discover previously hidden items and additional information. Special actions can be performed by using some objects and some things can be used in combination with other objects. Be mindful of your spending, you have a limited amount of money.\n\nThis game has a lot of text. Sometimes more than one full screen of text is shown at once. If you notice a large paragraph be sure to check above it as not to miss any potentially important text. All player input is prefixed with the ">" symbol and any text shown because of that command is below that line up until the bottom of the console where there is another '>' symbol signifying that the game is waiting for input.\n\nIf you are unsure how to proceed try the "help" command or use the "tips" command to show this text again. Don't forget the "save" and "load" commands! Use "restart" to begin the game again from the start.\n\nYou can lose the game.\n
dictonor	--------------------\nOLD NORSE DICTIONARY\n--------------------\nThese words are most likely fictional but they were made by combining real Old Norse words. The interpunct is used to separate words from one another. Pronunciation guide inside slashes is tailored to make it easier for Finns to read and as such does not follow English pronunciation methods. Words without Norse characters inside brackets. The r is rolled heavily. The h in ð is almost silent like in “this” while the h in Þ is pronounced like in “thin”.\n\nPeople & Creatures\n------------------\nÆsir /aisirr/ (aesir)\n Race of gods in Asgard.\nEiríkr Þorvaldsson /eiriikrr thorrvaldsson/ (eirikr thorvaldsson)\n Erik Thordvaldsson, father of Leif Eriksson.\nEiríkr hinn Rauði /eiriikrr hinn raut(h)i/ (eirikr hinn rauthi)\n Erik the Red, father of Leif Eriksson.\nHveðrungr /hvet(h)rungr/ (hvethrungr)\n Loki, Norse god of fire and trickery.\nJǫtunn /jötunn/ (jötunn)\n Giants of Norse mythology, banished from Asgard.\nLeifr Eiríksson /leifrr eiriiksson/ (leifr eiriksson)\n Leif Eriksson, a famous viking.\nÓðinn /oot(h)inn/ (othinn)\n Odin, Allfather of the gods and the ruler of Asgard.\nÞórr /thoorr/ (thorr)\n Thor, son of Odin, Norse god of thunder.\nSeiðmenn /seit(h)menn/ (seithmenn)\n A male shaman.\nVǫlur /vöölurr/ (völur)\n A female shaman.\nLinnormr /linnorrmrr/\n Lindworm, a wingless bipedal lizard with a venomous bite.\n\nObjects\n-------\nBál·brandr /baal·brandr/ (baalbrandr)\n Fireblade, sword of Loki.\nFjǫr·steinn /fjöör·steinn/ (fjörsteinn)\n Lifestone, the gem in Loki’s sword.\nVarmr·svell /varmrr·svekl/\n Warm ice, Loki’s gem that is encrusted in ice.\nGuð·hjǫrr /gut(h)·hjöörr/ (guthhjörr)\n Godsword, Bálbrandr that lacks the Fjǫrsteinn.\n\nLocations\n---------\nÁsgarðr /aasgarrt(h)rr/ (asgarthr)\n The home of the gods.\nValhöll /valhökl/\n Hall of the slain, those who die in combat travel to Valhalla.\n\nOther Words\n-----------\nEngi·andlát·líf /engi·andlaat·liif/ (engiandlatlif)\n No death life, immortal.\nEngi·andlát·æv /engi·andlaat·eev/ (engiandlataev)\n No death life, immortality.\nSeiðr /seit(h)rr/ (seithr)\n Norse magic/shamanism.\nMóðir /moot(h)irr/ (mothir)\n Mother.\nFaðir /fat(h)irr/ (fathir)\n Father.\nYfir-maðr /yfir-mat(h)rr/ (yfir-mathr)\n Leader or chieftain.
dontgive	What good would that do?
endfjors	The museum wants you to write an article about your travel. It will be used as advertisement, and you will be receiving 10% of the entrance fee gains it entails.
endguthh	Great work! You will get a fantastic recommendation letter from Gorka, which in turn allows you to become a renowned archaeologist. Your adventures are only just getting started...
